Date	Price	Open	High	Low	Vol.	Change %
6/23/2022	"42,716.97"	"42,458.14"	"42,983.41"	"42,458.14"		0.61%
6/22/2022	"42,458.14"	"42,525.95"	"42,880.17"	"42,408.17"		-0.16%
6/21/2022	"42,525.95"	"41,776.98"	"42,564.79"	"41,745.27"		1.79%
6/20/2022	"41,776.98"	"42,140.76"	"42,357.92"	"41,740.12"		-0.86%
6/17/2022	"42,140.76"	"41,730.16"	"42,420.64"	"41,730.16"		0.98%
6/16/2022	"41,730.16"	"41,438.79"	"41,764.19"	"41,322.89"		0.70%
6/15/2022	"41,438.79"	"41,054.68"	"41,534.99"	"41,054.68"		0.94%
6/14/2022	"41,054.68"	"40,879.93"	"41,115.72"	"40,657.88"		0.43%
6/13/2022	"40,879.93"	"42,014.73"	"42,069.65"	"40,834.97"		-2.70%
6/10/2022	"42,014.73"	"41,735.96"	"42,076.14"	"41,715.05"		0.67%
6/9/2022	"41,735.96"	"41,553.16"	"41,994.62"	"41,553.16"		0.44%
6/8/2022	"41,553.16"	"41,568.41"	"41,620.35"	"41,391.53"		-0.04%
6/7/2022	"41,568.41"	"41,577.21"	"41,854.25"	"41,524.07"		-0.02%
6/6/2022	"41,577.21"	"41,314.88"	"41,674.10"	"41,031.91"		0.63%
6/3/2022	"41,314.88"	"42,237.91"	"42,237.91"	"41,229.43"		-2.19%
6/2/2022	"42,237.91"	"42,756.04"	"42,822.77"	"42,132.98"		-1.21%
6/1/2022	"42,756.04"	"43,078.14"	"43,148.77"	"42,723.51"		-0.75%
5/31/2022	"43,078.14"	"43,040.14"	"43,339.22"	"43,018.40"		0.09%
5/30/2022	"43,040.14"	"42,861.45"	"43,257.78"	"42,861.45"		0.42%
5/27/2022	"42,861.45"	"42,541.71"	"43,554.75"	"42,541.71"		0.75%
5/26/2022	"42,541.71"	"42,012.66"	"42,607.43"	"41,904.46"		1.26%
5/25/2022	"42,012.66"	"41,950.32"	"42,128.41"	"41,356.02"		0.15%
5/24/2022	"41,950.32"	"42,440.25"	"42,637.54"	"41,915.98"		-1.15%
5/23/2022	"42,440.25"	"43,100.71"	"43,100.71"	"42,345.08"		-1.53%
5/20/2022	"43,100.70"	"42,983.45"	"43,185.80"	"42,938.60"		0.27%
5/19/2022	"42,983.45"	"43,026.88"	"43,256.32"	"42,938.75"		-0.10%
5/18/2022	"43,026.88"	"42,726.06"	"43,161.43"	"42,509.55"		0.70%
5/17/2022	"42,726.06"	"42,667.32"	"42,883.86"	"42,607.15"		0.14%
5/16/2022	"42,667.32"	"43,486.46"	"43,486.46"	"42,375.39"		-1.88%
5/13/2022	"43,486.46"	"42,898.44"	"43,505.75"	"42,853.80"		1.37%
5/12/2022	"42,898.44"	"42,863.15"	"43,032.50"	"42,273.27"		0.08%
5/11/2022	"42,863.15"	"43,504.36"	"43,649.59"	"42,394.32"		-1.47%
5/10/2022	"43,504.36"	"43,393.14"	"43,647.55"	"43,262.69"		0.26%
5/9/2022	"43,393.14"	"44,840.81"	"44,841.41"	"43,233.21"		-3.23%
5/6/2022	"44,840.81"	"45,249.41"	"45,249.41"	"44,784.42"		-0.90%
4/28/2022	"45,249.41"	"45,533.30"	"45,533.30"	"44,656.96"		-0.62%
4/27/2022	"45,533.30"	"45,817.68"	"45,958.37"	"45,482.50"		-0.62%
4/26/2022	"45,817.67"	"46,073.25"	"46,184.55"	"45,782.89"		-0.55%
4/25/2022	"46,073.25"	"45,553.02"	"46,203.59"	"45,553.02"		1.14%
4/22/2022	"45,553.02"	"45,652.62"	"45,774.85"	"45,505.07"		-0.22%
4/21/2022	"45,652.62"	"45,943.16"	"46,067.18"	"45,599.96"		-0.63%
4/20/2022	"45,943.16"	"46,333.36"	"46,586.06"	"45,891.14"		-0.84%
4/19/2022	"46,333.36"	"46,539.59"	"46,746.24"	"46,275.64"		-0.44%
4/18/2022	"46,539.59"	"46,776.58"	"46,969.46"	"46,428.95"		-0.13%
4/15/2022	"46,601.54"	"46,484.43"	"46,785.59"	"46,484.43"		0.25%
4/14/2022	"46,484.43"	"46,165.50"	"46,510.11"	"46,054.36"		0.69%
4/13/2022	"46,165.50"	"46,407.26"	"46,643.05"	"46,062.27"		-0.52%
4/12/2022	"46,407.26"	"46,144.96"	"46,459.26"	"45,896.46"		0.57%
4/11/2022	"46,144.96"	"44,444.58"	"46,215.54"	"44,444.58"		3.83%
4/8/2022	"44,444.58"	"43,786.83"	"44,501.55"	"43,786.83"		1.50%
4/7/2022	"43,786.83"	"44,111.10"	"44,349.59"	"43,751.75"		-0.74%
4/6/2022	"44,111.10"	"43,928.08"	"44,377.92"	"43,928.08"		0.42%
4/5/2022	"43,928.08"	"43,902.04"	"44,289.83"	"43,784.03"		0.06%
4/4/2022	"43,902.04"	"45,152.11"	"45,152.11"	"43,824.08"		-2.77%
4/1/2022	"45,152.11"	"44,928.83"	"45,396.14"	"44,654.95"		0.50%
3/31/2022	"44,928.83"	"44,337.56"	"44,928.83"	"44,337.56"		1.33%
3/30/2022	"44,337.56"	"44,438.70"	"44,444.98"	"43,975.67"		-0.23%
3/29/2022	"44,438.70"	"43,933.56"	"44,478.58"	"43,933.56"		1.15%
3/28/2022	"43,933.56"	"43,551.15"	"43,933.56"	"43,291.01"		0.88%
3/25/2022	"43,551.14"	"43,522.55"	"43,686.35"	"43,375.51"		0.07%
3/24/2022	"43,522.55"	"43,203.79"	"43,569.67"	"42,936.06"		0.74%
3/22/2022	"43,203.79"	"43,230.22"	"43,398.44"	"43,164.20"		-0.06%
3/21/2022	"43,230.22"	"43,029.97"	"43,388.18"	"43,029.97"		0.47%
3/18/2022	"43,029.97"	"43,807.23"	"43,807.23"	"42,990.55"		-1.77%
3/17/2022	"43,807.23"	"43,975.69"	"44,187.00"	"43,798.16"		-0.38%
3/16/2022	"43,975.69"	"43,719.82"	"44,281.27"	"43,719.82"		0.59%
3/15/2022	"43,719.82"	"43,366.89"	"43,793.57"	"43,326.76"		0.81%
3/14/2022	"43,366.89"	"43,653.33"	"43,767.77"	"43,324.94"		-0.66%
3/11/2022	"43,653.33"	"43,853.62"	"43,966.27"	"43,596.16"		-0.46%
3/10/2022	"43,853.62"	"43,042.96"	"43,921.82"	"43,042.96"		1.88%
3/9/2022	"43,042.96"	"42,878.35"	"43,217.19"	"42,865.81"		0.38%
3/8/2022	"42,878.35"	"43,266.97"	"43,426.72"	"42,788.53"		-0.90%
3/7/2022	"43,266.97"	"44,551.35"	"44,551.35"	"43,050.88"		-2.88%
3/4/2022	"44,551.35"	"44,525.72"	"44,723.19"	"44,461.06"		0.06%
3/3/2022	"44,525.72"	"44,514.12"	"44,705.74"	"44,311.80"		0.03%
3/2/2022	"44,514.12"	"44,803.58"	"44,803.58"	"44,133.88"		-0.65%
3/1/2022	"44,803.58"	"44,461.01"	"45,016.65"	"44,461.01"		0.77%
2/28/2022	"44,461.01"	"43,984.24"	"44,557.10"	"43,646.08"		1.08%
2/25/2022	"43,984.24"	"43,830.51"	"44,192.52"	"43,805.73"		0.35%
2/24/2022	"43,830.51"	"45,132.92"	"45,132.92"	"43,791.31"		-2.89%
2/23/2022	"45,132.92"	"45,012.18"	"45,235.21"	"44,756.23"		0.27%
2/22/2022	"45,012.18"	"45,362.85"	"45,362.85"	"44,698.45"		-0.77%
2/21/2022	"45,362.85"	"45,675.87"	"45,742.83"	"45,342.06"		-0.69%
2/18/2022	"45,675.87"	"45,441.10"	"45,705.50"	"45,441.10"		0.52%
2/17/2022	"45,441.10"	"45,684.80"	"45,716.89"	"45,258.85"		-0.53%
2/16/2022	"45,684.80"	"45,731.70"	"45,904.63"	"45,603.93"		-0.10%
2/15/2022	"45,731.70"	"45,644.09"	"45,804.00"	"45,502.81"		0.19%
2/14/2022	"45,644.09"	"46,079.37"	"46,133.87"	"45,507.45"		-0.94%
2/11/2022	"46,079.37"	"45,940.04"	"46,143.91"	"45,838.75"		0.30%
2/10/2022	"45,940.04"	"46,339.76"	"46,464.38"	"45,936.74"		-0.86%
2/9/2022	"46,339.76"	"45,947.95"	"46,405.86"	"45,947.95"		0.85%
2/8/2022	"45,947.95"	"45,841.25"	"46,040.61"	"45,727.64"		0.23%
2/7/2022	"45,841.25"	"45,909.65"	"46,139.82"	"45,799.67"		-0.15%
2/4/2022	"45,909.65"	"45,862.93"	"46,129.46"	"45,814.64"		0.10%
2/3/2022	"45,862.93"	"46,119.15"	"46,387.64"	"45,818.04"		-0.56%
2/2/2022	"46,119.15"	"45,674.50"	"46,139.50"	"45,674.50"		0.97%
2/1/2022	"45,674.50"	"45,374.68"	"45,754.17"	"45,374.68"		0.66%
1/31/2022	"45,374.68"	"45,077.91"	"45,462.62"	"45,077.91"		0.66%
1/28/2022	"45,077.91"	"45,083.04"	"45,312.05"	"45,042.25"		-0.01%
1/27/2022	"45,083.04"	"44,955.05"	"45,179.89"	"44,955.05"		0.28%
1/26/2022	"44,955.05"	"44,887.77"	"45,030.45"	"44,712.65"		0.15%
